id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
244305,The Ice House,/tnaaNtJ6x9Es6nErSIoK9Y5izI2.jpg,0.3333,0.1176,/x0SzhzlHaOL0oJXo0NkXjPpF9aN.jpg,1.0,0.1078,0.6667,-0.0098,2,1,overlap_gain
250788,Savage Encounter,/fyHhjGJkTYCIIoRFM1v0YvuW50Q.jpg,0.0,0.2667,/4Y2Kmg6NLLy4KX9egc5D4Zb2O5I.jpg,1.0,0.2542,1.0,-0.0125,2,1,overlap_gain
251526,The Mutagen,/ezpSbTs0epele0tkVKSRkhS7mco.jpg,0.0,0.1918,/ezpSbTs0epele0tkVKSRkhS7mco.jpg,0.0,0.1918,0.0,0.0,1,0,no
254701,The Mask of Love,/laWI93XRbbI2qEnAFPETLUkNwD5.jpg,0.25,0.1463,/laWI93XRbbI2qEnAFPETLUkNwD5.jpg,0.25,0.1463,0.0,0.0,1,0,no
257275,The Night Comes Too Soon,/5cbhJNkBnonH6qJQgMDyc2qf0Eb.jpg,0.2,0.5854,/5cbhJNkBnonH6qJQgMDyc2qf0Eb.jpg,0.2,0.5854,0.0,0.0,3,0,no
258726,The Game,/cdyvTnRAOxVbQfRtV7pT6rhzHkK.jpg,0.0,0.2778,/e0p03Vy5V76xkFUCGnTTCzRm3Dy.jpg,0.0,0.3158,0.0,0.038,3,0,no
259828,Bloodless,/474HmunD3keIwtapMuRdTKB2pPF.jpg,0.0,0.08,/474HmunD3keIwtapMuRdTKB2pPF.jpg,0.0,0.08,0.0,0.0,1,0,no
260824,Under Surveillance,/kdgMFG1sY3oXPDoYelHCgKa8qqP.jpg,0.0,0.129,/kdgMFG1sY3oXPDoYelHCgKa8qqP.jpg,0.0,0.129,0.0,0.0,1,0,no
262919,Catacombs,/jaMF5hgc9U11vrbVEdFmsHA2nVJ.jpg,0.0,0.1159,/gqbuXMErRMrmRc55m35Y10WCmtZ.jpg,0.0,0.2,0.0,0.0841,4,0,no
265321,A Shred Of Mist,/1cy71eeNjdhbTZSVkOa24fsAHyQ.jpg,0.3333,0.0072,/1cy71eeNjdhbTZSVkOa24fsAHyQ.jpg,0.3333,0.0072,0.0,0.0,1,0,no
272100,Supernatural,/u56mJuKMXK9adQYv1PxZlo8r1mi.jpg,0.0,0.3529,/53KU5vgHQtjh5xwFqbRmDUVZYqj.jpg,1.0,1.0,1.0,0.6471,5,1,overlap_gain
273418,Killer Dead,/mYuEWRvrxGKHGPzdxXY00rGRJHC.jpg,0.0,0.1429,/mYuEWRvrxGKHGPzdxXY00rGRJHC.jpg,0.0,0.1429,0.0,0.0,1,0,no
275203,Locked in a Room,/jdlC72Q6uD5ZaowkxUYpjxYwaKp.jpg,0.0,0.1395,/qCVl8zow8BuYhPrIeXExTnGE7pm.jpg,1.0,0.7692,1.0,0.6297,2,1,overlap_gain
276692,Natural Selection,/kmK64pGj3qJov5PHzA5wlcy1KNG.jpg,0.0,0.1916,/kmK64pGj3qJov5PHzA5wlcy1KNG.jpg,0.0,0.1916,0.0,0.0,1,0,no
